"","Port","Quarter","Vessel Rate","Crane Rate","Ship Rate","Containers"
"90","Wellington","2022 Q3","40.27","27.81","49.19","13702"
"91","Lyttelton","2022 Q3","49.6","31.3","65.1","76137"
"92","Napier","2022 Q3","25.41","19.56","36.98","36471"
"93","Auckland","2022 Q2","36.28","25.35","45.24","100110"
"94","Tauranga","2022 Q2","51","30.1","59","203701"
"95","Napier","2022 Q2","33.37","20.87","45.1","47068"
"96","Wellington","2022 Q2","41","27.1","48.7","13888"
"97","Lyttelton","2022 Q2","45.7","30.3","62","71105"
"98","Otago","2022 Q2","29.8","25.5","35.1","29670"
"99","Auckland","2022 Q1","27.9","24.9","35.3","90815"
"100","Tauranga","2022 Q1","61.1","34.1","67.3","188882"
"101","Napier","2022 Q1","26.27","20.59","41.53","35099"
"102","Wellington","2022 Q1","42.4","28.2","48.3","13323"
"103","Lyttelton","2022 Q1","45.2","30.7","55.3","72061"
"104","Otago","2022 Q1","31.5","29.8","36.4","27147"
"105","Auckland","2021 Q4","38.3","24.4","49.1","111087"
"106","Tauranga","2021 Q4","59.6","32.8","67.6","201445"
"107","Napier","2021 Q4","29.87","25.54","46.59","33165"
"108","Wellington","2021 Q4","43.2","27.4","50","15872"
"109","Lyttelton","2021 Q4","49.9","30.1","63","85681"
"110","Otago","2021 Q4","32.7","30.7","38.3","23137"
"111","Auckland","2021 Q3","37.6","24","45.7","117066"
"112","Tauranga","2021 Q3","49.2","32.1","63","202621"
"113","Napier","2021 Q3","29.99","23.02","42.59","37610"
"114","Wellington","2021 Q3","38.9","26.6","48.2","15547"
"115","Lyttelton","2021 Q3","45.3","30.1","57.7","80698"
"116","Otago","2021 Q3","31","26.6","38.6","21857"
"117","Auckland","2021 Q2","31.3","22.8","37.2","103527"
"118","Tauranga","2021 Q2","40.7","27.6","51.4","189536"
"119","Napier","2021 Q2","32.91","23.15","47.3","46073"
"120","Wellington","2021 Q2","34.9","23.7","42.6","15623"
"121","Lyttelton","2021 Q2","48.7","28.8","62","75021"
"122","Otago","2021 Q2","32.4","29.5","38","26657"
"123","Auckland","2021 Q1","32.24","23.82","38.61","110903"
"124","Tauranga","2021 Q1","47.2","29.2","55.7","187607"
"125","Napier","2021 Q1","39.45","22.5","51.44","46785"
"126","Wellington","2021 Q1","38.9","24.32","44.19","16335"
"127","Lyttelton","2021 Q1","44.2","28.8","54.9","64270"
"128","Otago","2021 Q1","31.4","29.3","36.6","28627"
"129","Auckland","2020 Q4","31.21","24.61","37.5","110393"
"130","Tauranga","2020 Q4","57.85","25.18","65.39","210487"
"131","Napier","2020 Q4","36.54","22.53","50.6","36394"
"132","Wellington","2020 Q4","37.54","25.35","41.62","15458"
